Id_bien;Id_lieu;No_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type local
1;01103;347;RUE DU CHATEAU;3;48.22;48;Appartement
2;064;4;BD EDOUARD BAUDOIN;1;39.11;40;Appartement
3;0688;20;RUE MARCEAU;3;80.25;82;Appartement
4;06123;550;RTE DES VESPINS RN7;1;27.51;27;Appartement
5;135;9300;RES LES ARPEGES BD DES ABA;2;47.33;47;Appartement
6;1328;27;RUE DU GRAND MADIER;1;25.31;24;Appartement
7;13208;360;AV DU PRADO;3;70.84;70;Appartement
8;13212;5076;PARC DESSUARD;3;67.19;66;Appartement
9;14338;1194;RUE DE NORMANDIE;1;18.89;19;Appartement
10;14366;30;ALL DES NOISETIERS;4;105.37;99;Maison
11;17300;11;RUE ROUGET DE L ISLE;2;31.99;34;Appartement
12;2556;13;RUE BERTHE MORISOT;5;96.21;100;Maison
13;29232;1;RUE DU POHER;1;30.86;31;Appartement
14;29260;2;RUE DES JARDINS;3;66.21;67;Appartement
15;31555;5;AV DU COMMANDANT TAILLANDIER;2;45.58;46;Appartement
16;3363;15;RUE PAUL DENUCE;1;23.2;27;Appartement
17;3363;176;RUE SAINTE CATHERINE;1;13.1;12;Appartement
18;3397;822; LA BAYNASSE SUD;2;29;29;Appartement
19;33449;9;RUE DE BELFORT;2;51.4;51;Appartement
20;34145;183;RUE MARC ANTOINE MENARD;1;16.79;18;Appartement
21;34150;50;AV ANDRE CHASSEFIERE;2;51.4;51;Appartement
22;34199;8;PL DES ETATS DU LANGUEDOC;3;68.22;85;Appartement
23;37156;7;RUE JEAN-JACQUES ROUSSEAU;4;88.45;89;Maison
24;37261;197;AV DE GRAMMONT;2;42.94;46;Appartement
25;38185;48;BD MAL FOCH;4;76.48;77;Appartement
26;40266;210;RTE DU TAILLEUR;3;48.23;53;Maison
27;40328;199;RES MER ET GOLF-LE BOUCANIER;2;49.91;48;Appartement
28;44143;3;ALL JEAN PERRIN;2;46.3;45;Appartement
29;44184;12;RUE FERDINAND BUISSON;2;47.24;48;Appartement
30;51230;35;AV DE CHAMPAGNE;4;81.09;79;Appartement
31;54395;26;RUE MESSIER;2;39.69;39;Appartement
32;56161;5794; GOLF SAINT LAURENT;3;43.85;44;Appartement
33;58194;5;RUE DE PRUNEVEAUX;4;108.78;124;Appartement
34;59512;118;BD DU GENERAL DE GAULLE;3;89.84;71;Appartement
35;6057;247;RUE DE NOTRE DAME DU THIL;2;48.35;48;Appartement
36;60155;34;RUE DE LA VILLE;1;19.11;18;Appartement
37;60159;15;SQ JEAN BAPTISTE CLEMENT;5;97.39;97;Appartement
38;60524;84;AV JEAN JAURES;1;31.73;32;Appartement
39;69149;54;RUE DE LA BUSSIERE;2;49.89;51;Appartement
40;69384;15;RUE ARTAUD;1;20.02;20;Appartement
41;74119;1;AV D ABONDANCE;2;34.86;33;Appartement
42;74236;950;AV DU MONT D ARBOIS;2;39.05;39;Appartement
43;74238;110;RTE DE LA TELECABINE;1;18.93;20;Appartement
44;74278;2308;AV DES VALLEES;4;88.59;88;Appartement
45;75105;22;BD SAINT MARCEL;2;30.05;41;Appartement
46;75110;45;BD DE MAGENTA;2;32.3;32;Appartement
47;75111;14;AV DE LA REPUBLIQUE;4;120.28;120;Appartement
48;75111;160;RUE SAINT MAUR;2;17.94;28;Appartement
49;75111;11;RUE DU MOULIN JOLY;2;28.39;28;Appartement
50;75112;36;RUE ERARD;2;18;41;Appartement
51;75112;220;RUE DE CHARENTON;3;51.44;51;Appartement
52;75112;17;RUE D AUSTERLITZ;1;10.06;10;Appartement
53;75115;60;RUE EMERIAU;4;88.3;88;Appartement
54;75118;4;RUE SQUARE CARPEAUX;1;23.98;18;Appartement
55;75118;36;AV DE CLICHY;2;53.59;39;Appartement
56;75118;68;RUE MARCADET;2;24.3;25;Appartement
57;76217;16;AV ALEXANDRE ANQUETIN;4;61.52;59;Appartement
58;76451;5;PARC DE LA BRESLE;3;57.27;58;Appartement
59;76655;4;RUE FRANCOIS LAPERT;1;23.98;25;Appartement
60;77118;5;RUE DE LA SOLIDARITE;2;35.32;40;Appartement
61;78350;4;ALL HELENE LAZAREFF;4;89.41;89;Appartement
62;78423;1;AV DE DENTON;5;106.19;107;Appartement
